trial,state,value,lr,change_penalty,massive_reward,early_finish_bonus,success_rate_std_pct,total_change_pct,total_change_std_pct,empty_before_pct,empty_before_std_pct,empty_after_pct,empty_after_std_pct,net_empty_change_pct,net_empty_change_std_pct
23,TrialState.COMPLETE,100.0,3.0000243993863717e-06,3.2448838728166014,162.61029078923838,4.163055624015227,0.0,64.01407718658447,3.1712310730589146,32.363180071115494,2.697119909550576,55.59407025575638,2.8072237129140407,23.230890184640884,4.580639341591022
24,TrialState.COMPLETE,100.0,3.988019380297169e-06,1.2776559067724638,195.0527816440972,41.142160979746414,0.0,65.48371464014053,2.743578031733691,35.407182574272156,3.5133044013274795,52.62879654765129,4.864698207606796,17.221613973379135,8.108586312596984
25,TrialState.COMPLETE,100.0,1.5160544895462435e-06,4.382329908572375,105.45605104722785,39.573598171087696,0.0,63.75451982021332,2.7266071030901595,35.510703921318054,1.5352832152069664,56.698207557201385,1.8928865100394385,21.18750363588333,1.9090428346094253
26,TrialState.COMPLETE,100.0,1.6444454981032611e-06,4.845026601864021,95.42668981892763,39.94021818603171,0.0,67.66701489686966,3.7926767414991334,34.27012786269188,5.614603774394238,55.85213601589203,2.697617802355356,21.58200815320015,3.9565538833794394
27,TrialState.COMPLETE,100.0,2.9473676903534923e-05,1.9076307793536915,115.61066136460688,44.111153918814594,0.0,49.9459370970726,1.7457434337603617,31.691879779100418,1.6071777685301856,28.22975032031536,4.835287606738742,-3.462129458785057,3.833884931254671
28,TrialState.COMPLETE,100.0,5.254731413958672e-06,2.429876579641647,196.5641620545812,49.48768225490313,0.0,63.19982260465622,2.1070093223759647,34.9249467253685,0.7908059744100531,55.31226992607117,1.918186328554465,20.387323200702667,1.9049706005220586
29,TrialState.COMPLETE,100.0,4.06114335562165e-06,1.757808238991343,108.8411680792872,22.05239414849775,0.0,64.06561583280563,1.700260113399467,32.30810984969139,1.3499179406937019,54.6838104724884,4.377977251068075,22.375700622797012,3.2739931156148767
30,TrialState.COMPLETE,100.0,4.169456911284443e-06,0.591827776494879,197.74438805121233,29.371642969173983,0.0,64.22048509120941,2.426232558237529,34.03598889708519,2.5940707557978944,57.00487196445465,3.1828847681428702,22.96888306736946,5.748944941721451
31,TrialState.COMPLETE,100.0,1.8783347683155649e-06,3.294152660434567,102.51634250439042,37.358255373620395,0.0,67.20128804445267,2.1376334099146916,34.41007509827614,2.4024834215684,52.42554396390915,2.602716216973937,18.01546886563301,4.394263163193413
32,TrialState.COMPLETE,100.0,1.950674050877967e-05,4.587814427141861,141.0001640782193,33.669536126846985,0.0,65.95984250307083,1.0984062112767974,33.397503197193146,1.858586522419839,47.796157747507095,2.463302279076897,14.39865455031395,3.2599301991745215
33,TrialState.COMPLETE,100.0,7.96490967320189e-06,3.434279944588454,100.07419273028404,1.3361932185704417,0.0,65.89746475219727,1.8776401532906029,33.61594378948212,2.066679125525859,52.82224416732788,1.3677419908089492,19.206300377845764,2.1671795538456475
34,TrialState.COMPLETE,100.0,1.3834309926865867e-05,4.519742181234153,194.62372052986638,15.117429744933519,0.0,66.03948175907135,1.2148699235624618,33.1991508603096,2.2119969417605088,56.636667251586914,2.2467941684086656,23.437516391277313,3.949430339366871
35,TrialState.COMPLETE,100.0,1.988175257222609e-05,1.241071259386926,75.25582941662663,45.65742446889608,0.0,64.88372683525085,0.6712159492155547,34.94032919406891,1.4644624305550271,52.874092757701874,1.3520612285825186,17.933763563632965,2.158802034793445
36,TrialState.COMPLETE,100.0,1.3399163944413522e-05,4.570006450669226,84.09733719776904,25.17394839551434,0.0,64.8745447397232,3.065928211244494,33.127693831920624,2.4188519191189064,53.75553220510483,1.9928316679736866,20.627838373184204,2.251091393314261
37,TrialState.COMPLETE,100.0,1.2556967834516179e-05,4.509562312503434,132.97112197691655,49.52748490386405,0.0,65.47623127698898,3.9727264062025123,34.92888957262039,3.356460812618016,54.079967737197876,1.6346689489854354,19.151078164577484,2.638296229872882
38,TrialState.COMPLETE,100.0,2.9352551303799e-05,2.163630334243483,154.3637026734184,8.803425880577937,0.0,62.229374051094055,8.05455614371493,35.9457790851593,2.4054212223501,61.378081142902374,1.1785512108346399,25.432302057743073,1.7821695608569041
39,TrialState.COMPLETE,100.0,9.932532180578452e-06,3.350227612248704,93.96373615966067,41.12006092914798,0.0,64.13608342409134,1.0882510753923857,33.99025872349739,2.981772053744376,53.57872545719147,1.7476333656133811,19.588466733694077,1.299482670743998
40,TrialState.COMPLETE,100.0,3.141636983683525e-06,1.241584145052451,60.07557958474838,25.82849663153613,0.0,64.65851366519928,4.328058901346768,34.83536317944527,1.913315395595679,53.06995511054993,0.5300275185900288,18.23459193110466,1.6982167735155091
41,TrialState.COMPLETE,100.0,2.9256825421148553e-06,2.8903548421182736,179.29862905997828,31.842913838783964,0.0,66.05846136808395,1.464224145215869,31.17259219288826,2.434265175358277,54.73173260688782,1.4643515859234026,23.559140413999557,1.9360883397347166
42,TrialState.COMPLETE,100.0,1.478781541888206e-06,2.0424443121282745,116.1425904163424,13.116928769420339,0.0,67.48459935188293,2.953889790704531,32.83792734146118,1.548971956685672,55.117276310920715,3.2750216573692073,22.279348969459534,2.4069581200283316
43,TrialState.COMPLETE,100.0,4.788581500638379e-05,2.33055572741749,61.7374863694466,5.142673619513189,0.0,54.79278266429901,1.849770957392296,32.73070678114891,2.1744026242900656,24.1216279566288,3.6375504510829737,-8.609078824520111,4.017483250383095
44,TrialState.COMPLETE,100.0,1.736626659645268e-05,1.0346929509234593,71.03026401569929,22.54946391479196,0.0,66.84457510709763,1.6969310129962545,32.21125453710556,4.111663543906146,49.57921430468559,0.7525458933575236,17.367959767580032,4.452695242576947
45,TrialState.COMPLETE,100.0,2.35694503728588e-06,4.365777569553233,57.39103980429652,11.381611089834914,0.0,65.49123078584671,1.5841877494360699,33.670105785131454,4.428357263059507,56.204161047935486,3.531607006142061,22.53405526280403,7.248665273205807
46,TrialState.COMPLETE,100.0,2.2499617331757103e-05,4.023815956669617,136.15899997754664,15.789292867781363,0.0,66.53946787118912,1.8946624973541561,34.2462956905365,2.200985846849204,51.215945929288864,2.551829015852327,16.969650238752365,4.569009199420405
47,TrialState.COMPLETE,100.0,6.23333690407619e-06,4.678479598347458,60.0351091650857,21.601065066102056,0.0,65.23299217224121,2.195715418592281,30.346757173538208,6.271511987474435,54.01952713727951,3.7162954084867943,23.672769963741302,5.6768352195864775
48,TrialState.COMPLETE,100.0,5.420718341102326e-06,3.7234524151658666,91.27870668851048,29.146214277979777,0.0,63.94273191690445,1.0917541312810033,34.91491675376892,1.922834004093377,53.91334295272827,2.2686590068757218,18.99842619895935,3.334406884053178
49,TrialState.COMPLETE,100.0,1.3396091750848405e-06,1.686024856582629,145.56209248359426,26.62013957153061,0.0,67.27774292230606,1.133767255279451,32.534196972846985,1.6854181087024733,55.9483602643013,1.77800202160223,23.414163291454315,2.591603341526506
