trial,state,value,lr,change_penalty,massive_reward,early_finish_bonus,empty_penalty,success_rate_std_pct,total_change_pct,total_change_std_pct,empty_before_pct,empty_before_std_pct,empty_after_pct,empty_after_std_pct,net_empty_change_pct,net_empty_change_std_pct
33,TrialState.COMPLETE,100.0,4.546362649116274e-06,4.7,135.0,0.0,8.5,0.0,56.76639527082443,4.540650893686239,46.754732728004456,4.687847677043096,42.30949953198433,3.3428386427041663,-4.445233196020126,2.338927852319902
34,TrialState.COMPLETE,100.0,2.1255005067437544e-05,0.8,100.0,10.0,8.0,0.0,54.40173149108887,4.639448880121143,48.54839891195297,4.244429999165329,37.32730373740196,3.472809278567554,-11.22109517455101,2.5813563255970413
35,TrialState.COMPLETE,100.0,7.536270970974766e-06,1.1,110.0,29.0,3.5,0.0,57.81371146440506,4.239731029057598,44.927140325307846,4.580173750031895,37.86219134926796,3.7442990436815613,-7.0649489760398865,1.4103102722912972
36,TrialState.COMPLETE,100.0,1.2268927996791367e-05,2.3,145.0,4.0,3.0,0.0,54.30750250816345,5.0779828305228065,48.31160381436348,4.948780926451496,42.47884973883629,4.420789536018257,-5.832754075527191,1.5545641728906936
37,TrialState.COMPLETE,100.0,2.4548810241157854e-05,3.2,145.0,44.0,2.5,0.0,49.79013502597809,3.567144108185094,47.39261344075203,4.531663414850203,42.19864681363106,5.643370316329261,-5.193966627120972,1.7099286422434274
38,TrialState.COMPLETE,100.0,3.7480152896413677e-05,3.2,90.0,40.0,4.5,0.0,54.30717021226883,1.617737780290971,45.92796862125397,3.7327076675750055,40.98376855254173,3.7253135329232245,-4.9442000687122345,2.9084025077496816
39,TrialState.COMPLETE,100.0,3.8974438803190225e-05,1.0,185.0,13.0,7.0,0.0,54.76337671279907,3.8974097495562914,45.214156806468964,5.7903748642411355,42.802609503269196,3.6155254320187113,-2.411547303199768,4.065187136116398
40,TrialState.COMPLETE,100.0,2.648881284549391e-05,4.300000000000001,65.0,45.0,10.0,0.0,56.17388188838959,5.484849871183718,45.16444653272629,5.3870391735871515,37.1359184384346,7.7850111607184385,-8.028528094291687,4.011289309062181
41,TrialState.COMPLETE,100.0,1.1525857269516404e-05,2.1,145.0,32.0,9.5,0.0,56.89180940389633,2.1625023978825886,46.31166830658913,4.063217946727251,37.938392162323,3.3655964870005106,-8.373276144266129,1.2503227792826628
42,TrialState.COMPLETE,100.0,2.5936496130695802e-05,0.5,125.0,21.0,7.5,0.0,55.323559045791626,2.5094664112266507,46.422021836042404,4.152987662215958,39.54047933220863,5.605066222898261,-6.881542503833771,2.09836182294397
43,TrialState.COMPLETE,100.0,2.0874913401593517e-06,2.2,75.0,38.0,7.0,0.0,56.86187446117401,2.088946254937609,46.25832736492157,2.6519345810935326,44.544678181409836,0.5236131710529015,-1.713649183511734,2.268060773102394
44,TrialState.COMPLETE,100.0,1.0095251668156415e-06,1.1,95.0,26.0,8.5,0.0,52.41209715604782,4.918548030358945,50.66274255514145,4.3020360264867765,51.31098851561546,2.4209091392092206,0.6482459604740143,3.7315612935282956
45,TrialState.COMPLETE,100.0,2.4209485709058884e-06,3.5,145.0,7.0,8.5,0.0,54.044611752033234,2.682171268609802,49.80243965983391,4.4375393307366595,44.124121218919754,1.282419862262615,-5.678318440914154,3.518826061475602
46,TrialState.COMPLETE,100.0,1.5051490307346795e-06,4.300000000000001,70.0,17.0,5.0,0.0,53.80597859621048,4.010921981762198,50.098394602537155,4.21942669092857,49.45521801710129,3.3307153632387387,-0.6431765854358673,2.3841314955409647
47,TrialState.COMPLETE,100.0,6.638002519340183e-06,0.9,180.0,42.0,8.0,0.0,52.59084403514862,1.9953232840423634,53.2591849565506,2.4615701996116632,43.324440717697144,3.6470791731463934,-9.934744238853455,1.280195045330625
48,TrialState.COMPLETE,100.0,2.6921795623337153e-06,2.1,185.0,50.0,3.0,0.0,54.24749553203583,3.9282402712543276,48.859819024801254,4.887026263928572,45.655614137649536,6.033844130834782,-3.204204887151718,4.190890153464576
49,TrialState.COMPLETE,100.0,1.3817236710706393e-05,3.5,145.0,3.0,7.5,0.0,54.88347262144089,4.905153700897435,47.25547209382057,4.165249937471555,41.06221720576286,4.096351067259619,-6.193254888057709,4.081104469819731
