Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch  61/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0007 CE 0.8785) | Train Consistent: 100/800 (12.5%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8793) | Test Consistent: 200/200 (100.0%)
Epoch  62/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8912) | Train Consistent: 71/800 (8.9%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8995) | Test Consistent: 196/200 (98.0%)
Epoch  63/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0007 CE 0.8875) | Train Consistent: 86/800 (10.8%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8873) | Test Consistent: 198/200 (99.0%)
Epoch  64/100 | Stage max M: 13 | Train Loss: 0.0016 (KL 0.0007 CE 0.8951) | Train Consistent: 72/800 (9.0%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8864) | Test Consistent: 199/200 (99.5%)
Epoch  65/100 | Stage max M: 13 | Train Loss: 0.0018 (KL 0.0009 CE 0.8726) | Train Consistent: 86/800 (10.8%) | Test Loss: 0.0018 (KL 0.0009 CE 0.8811) | Test Consistent: 200/200 (100.0%)

[Curriculum] Epoch 66: switching active max clauses to 20
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
Epoch  66/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8927) | Train Consistent: 109/800 (13.6%) | Test Loss: 0.0015 (KL 0.0007 CE 0.8740) | Test Consistent: 200/200 (100.0%)
Epoch  67/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8873) | Train Consistent: 96/800 (12.0%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8822) | Test Consistent: 200/200 (100.0%)
Epoch  68/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0009 CE 0.8822) | Train Consistent: 101/800 (12.6%) | Test Loss: 0.0019 (KL 0.0010 CE 0.8658) | Test Consistent: 198/200 (99.0%)
Epoch  69/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0009 CE 0.8758) | Train Consistent: 116/800 (14.5%) | Test Loss: 0.0014 (KL 0.0005 CE 0.8774) | Test Consistent: 200/200 (100.0%)
Epoch  70/100 | Stage max M: 20 | Train Loss: 0.0016 (KL 0.0007 CE 0.8811) | Train Consistent: 121/800 (15.1%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8723) | Test Consistent: 200/200 (100.0%)
Epoch  71/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8862) | Train Consistent: 116/800 (14.5%) | Test Loss: 0.0017 (KL 0.0009 CE 0.8730) | Test Consistent: 200/200 (100.0%)
Epoch  72/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8803) | Train Consistent: 97/800 (12.1%) | Test Loss: 0.0015 (KL 0.0006 CE 0.8650) | Test Consistent: 200/200 (100.0%)
Epoch  73/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8862) | Train Consistent: 129/800 (16.1%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8793) | Test Consistent: 200/200 (100.0%)
Epoch  74/100 | Stage max M: 20 | Train Loss: 0.0017 (KL 0.0008 CE 0.8759) | Train Consistent: 123/800 (15.4%) | Test Loss: 0.0016 (KL 0.0008 CE 0.8626) | Test Consistent: 200/200 (100.0%)
