Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch  72/1000 | Stage max M: 6 | Train Loss: 0.8113 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.8196 | Test Consistent: 26/200 (13.0%)
Epoch  73/1000 | Stage max M: 6 | Train Loss: 0.8019 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.7663 | Test Consistent: 47/200 (23.5%)
Epoch  74/1000 | Stage max M: 6 | Train Loss: 0.8046 | Train Consistent: 176/800 (22.0%) | Test Loss: 0.8191 | Test Consistent: 44/200 (22.0%)
Epoch  75/1000 | Stage max M: 6 | Train Loss: 0.8250 | Train Consistent: 133/800 (16.6%) | Test Loss: 0.8069 | Test Consistent: 36/200 (18.0%)
Epoch  76/1000 | Stage max M: 6 | Train Loss: 0.8092 | Train Consistent: 152/800 (19.0%) | Test Loss: 0.7819 | Test Consistent: 46/200 (23.0%)
Epoch  77/1000 | Stage max M: 6 | Train Loss: 0.8179 | Train Consistent: 148/800 (18.5%) | Test Loss: 0.8111 | Test Consistent: 31/200 (15.5%)
Epoch  78/1000 | Stage max M: 6 | Train Loss: 0.8194 | Train Consistent: 139/800 (17.4%) | Test Loss: 0.8042 | Test Consistent: 39/200 (19.5%)
Epoch  79/1000 | Stage max M: 6 | Train Loss: 0.7969 | Train Consistent: 171/800 (21.4%) | Test Loss: 0.7653 | Test Consistent: 36/200 (18.0%)
Epoch  80/1000 | Stage max M: 6 | Train Loss: 0.8107 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.8000 | Test Consistent: 42/200 (21.0%)
Epoch  81/1000 | Stage max M: 6 | Train Loss: 0.8066 | Train Consistent: 169/800 (21.1%) | Test Loss: 0.7624 | Test Consistent: 50/200 (25.0%)
Epoch  82/1000 | Stage max M: 6 | Train Loss: 0.7795 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.8094 | Test Consistent: 43/200 (21.5%)
Epoch  83/1000 | Stage max M: 6 | Train Loss: 0.7925 | Train Consistent: 173/800 (21.6%) | Test Loss: 0.8112 | Test Consistent: 46/200 (23.0%)
Epoch  84/1000 | Stage max M: 6 | Train Loss: 0.7959 | Train Consistent: 170/800 (21.2%) | Test Loss: 0.7989 | Test Consistent: 34/200 (17.0%)
Epoch  85/1000 | Stage max M: 6 | Train Loss: 0.8120 | Train Consistent: 151/800 (18.9%) | Test Loss: 0.7833 | Test Consistent: 41/200 (20.5%)
Epoch  86/1000 | Stage max M: 6 | Train Loss: 0.8029 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.8027 | Test Consistent: 36/200 (18.0%)
Epoch  87/1000 | Stage max M: 6 | Train Loss: 0.8076 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.8032 | Test Consistent: 38/200 (19.0%)
Epoch  88/1000 | Stage max M: 6 | Train Loss: 0.8069 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.7992 | Test Consistent: 43/200 (21.5%)
Epoch  89/1000 | Stage max M: 6 | Train Loss: 0.7966 | Train Consistent: 174/800 (21.8%) | Test Loss: 0.8137 | Test Consistent: 34/200 (17.0%)
Epoch  90/1000 | Stage max M: 6 | Train Loss: 0.8090 | Train Consistent: 158/800 (19.8%) | Test Loss: 0.7762 | Test Consistent: 42/200 (21.0%)
Epoch  91/1000 | Stage max M: 6 | Train Loss: 0.8044 | Train Consistent: 160/800 (20.0%) | Test Loss: 0.8205 | Test Consistent: 43/200 (21.5%)
Epoch  92/1000 | Stage max M: 6 | Train Loss: 0.7894 | Train Consistent: 172/800 (21.5%) | Test Loss: 0.7623 | Test Consistent: 53/200 (26.5%)
Epoch  93/1000 | Stage max M: 6 | Train Loss: 0.8063 | Train Consistent: 156/800 (19.5%) | Test Loss: 0.7996 | Test Consistent: 35/200 (17.5%)
Epoch  94/1000 | Stage max M: 6 | Train Loss: 0.8075 | Train Consistent: 169/800 (21.1%) | Test Loss: 0.7691 | Test Consistent: 42/200 (21.0%)
Epoch  95/1000 | Stage max M: 6 | Train Loss: 0.7871 | Train Consistent: 185/800 (23.1%) | Test Loss: 0.7853 | Test Consistent: 45/200 (22.5%)
Epoch  96/1000 | Stage max M: 6 | Train Loss: 0.8105 | Train Consistent: 143/800 (17.9%) | Test Loss: 0.8014 | Test Consistent: 48/200 (24.0%)
Epoch  97/1000 | Stage max M: 6 | Train Loss: 0.8093 | Train Consistent: 150/800 (18.8%) | Test Loss: 0.7947 | Test Consistent: 39/200 (19.5%)
Epoch  98/1000 | Stage max M: 6 | Train Loss: 0.8045 | Train Consistent: 164/800 (20.5%) | Test Loss: 0.7863 | Test Consistent: 44/200 (22.0%)
Epoch  99/1000 | Stage max M: 6 | Train Loss: 0.8009 | Train Consistent: 167/800 (20.9%) | Test Loss: 0.7943 | Test Consistent: 36/200 (18.0%)
Epoch 100/1000 | Stage max M: 6 | Train Loss: 0.7917 | Train Consistent: 177/800 (22.1%) | Test Loss: 0.7796 | Test Consistent: 40/200 (20.0%)
Epoch 101/1000 | Stage max M: 6 | Train Loss: 0.7956 | Train Consistent: 174/800 (21.8%) | Test Loss: 0.7980 | Test Consistent: 33/200 (16.5%)
Epoch 102/1000 | Stage max M: 6 | Train Loss: 0.8071 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.7938 | Test Consistent: 46/200 (23.0%)
Epoch 103/1000 | Stage max M: 6 | Train Loss: 0.8014 | Train Consistent: 160/800 (20.0%) | Test Loss: 0.8140 | Test Consistent: 37/200 (18.5%)
Epoch 104/1000 | Stage max M: 6 | Train Loss: 0.7907 | Train Consistent: 181/800 (22.6%) | Test Loss: 0.8207 | Test Consistent: 32/200 (16.0%)
Epoch 105/1000 | Stage max M: 6 | Train Loss: 0.7852 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.8259 | Test Consistent: 29/200 (14.5%)
Epoch 106/1000 | Stage max M: 6 | Train Loss: 0.8125 | Train Consistent: 136/800 (17.0%) | Test Loss: 0.8102 | Test Consistent: 30/200 (15.0%)
Epoch 107/1000 | Stage max M: 6 | Train Loss: 0.7958 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.7977 | Test Consistent: 40/200 (20.0%)
Epoch 108/1000 | Stage max M: 6 | Train Loss: 0.7780 | Train Consistent: 190/800 (23.8%) | Test Loss: 0.7954 | Test Consistent: 44/200 (22.0%)
Epoch 109/1000 | Stage max M: 6 | Train Loss: 0.8015 | Train Consistent: 154/800 (19.2%) | Test Loss: 0.7651 | Test Consistent: 45/200 (22.5%)
Epoch 110/1000 | Stage max M: 6 | Train Loss: 0.8094 | Train Consistent: 152/800 (19.0%) | Test Loss: 0.7988 | Test Consistent: 37/200 (18.5%)
Epoch 111/1000 | Stage max M: 6 | Train Loss: 0.7688 | Train Consistent: 195/800 (24.4%) | Test Loss: 0.7918 | Test Consistent: 54/200 (27.0%)
Epoch 112/1000 | Stage max M: 6 | Train Loss: 0.8168 | Train Consistent: 146/800 (18.2%) | Test Loss: 0.7689 | Test Consistent: 53/200 (26.5%)
Epoch 113/1000 | Stage max M: 6 | Train Loss: 0.8146 | Train Consistent: 159/800 (19.9%) | Test Loss: 0.8054 | Test Consistent: 32/200 (16.0%)
Epoch 114/1000 | Stage max M: 6 | Train Loss: 0.7962 | Train Consistent: 159/800 (19.9%) | Test Loss: 0.8085 | Test Consistent: 37/200 (18.5%)
Epoch 115/1000 | Stage max M: 6 | Train Loss: 0.8072 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.7997 | Test Consistent: 39/200 (19.5%)
Epoch 116/1000 | Stage max M: 6 | Train Loss: 0.8006 | Train Consistent: 166/800 (20.8%) | Test Loss: 0.7896 | Test Consistent: 45/200 (22.5%)
Epoch 117/1000 | Stage max M: 6 | Train Loss: 0.8042 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.7875 | Test Consistent: 36/200 (18.0%)
Epoch 118/1000 | Stage max M: 6 | Train Loss: 0.7993 | Train Consistent: 170/800 (21.2%) | Test Loss: 0.7890 | Test Consistent: 39/200 (19.5%)
Epoch 119/1000 | Stage max M: 6 | Train Loss: 0.8011 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.8183 | Test Consistent: 36/200 (18.0%)
Epoch 120/1000 | Stage max M: 6 | Train Loss: 0.7987 | Train Consistent: 170/800 (21.2%) | Test Loss: 0.8050 | Test Consistent: 35/200 (17.5%)
Epoch 121/1000 | Stage max M: 6 | Train Loss: 0.8005 | Train Consistent: 155/800 (19.4%) | Test Loss: 0.8069 | Test Consistent: 40/200 (20.0%)
Epoch 122/1000 | Stage max M: 6 | Train Loss: 0.7981 | Train Consistent: 162/800 (20.2%) | Test Loss: 0.7920 | Test Consistent: 49/200 (24.5%)
Epoch 123/1000 | Stage max M: 6 | Train Loss: 0.7860 | Train Consistent: 182/800 (22.8%) | Test Loss: 0.7922 | Test Consistent: 43/200 (21.5%)
Epoch 124/1000 | Stage max M: 6 | Train Loss: 0.7928 | Train Consistent: 177/800 (22.1%) | Test Loss: 0.8333 | Test Consistent: 36/200 (18.0%)
Epoch 125/1000 | Stage max M: 6 | Train Loss: 0.7862 | Train Consistent: 168/800 (21.0%) | Test Loss: 0.7995 | Test Consistent: 39/200 (19.5%)
Epoch 126/1000 | Stage max M: 6 | Train Loss: 0.8018 | Train Consistent: 167/800 (20.9%) | Test Loss: 0.7869 | Test Consistent: 39/200 (19.5%)
